Bola1;Bola2;Bola3;Bola4;Bola5
16;30;42;58;65
10;13;42;60;61
31;38;62;73;76
9;34;39;42;75
5;7;30;49;62
17;30;37;44;77
3;9;33;37;40
11;25;43;61;71
8;14;53;67;69
24;36;43;73;75
11;29;31;49;51
19;40;52;65;78
14;32;52;72;75
7;24;41;52;77
1;7;40;42;47
19;22;32;65;71
38;43;44;48;77
7;12;19;58;72
10;21;29;54;78
9;19;34;55;60
37;39;44;59;75
3;15;52;66;76
26;33;46;58;79
16;42;51;61;66
10;13;18;78;79
6;25;35;38;40
14;18;25;35;66
45;53;68;73;77
28;31;40;52;55
30;35;40;50;67
2;49;51;68;80
16;44;49;50;53
38;49;58;66;70
4;31;35;45;72
5;33;39;44;52
5;27;53;69;72
31;32;52;53;54
19;21;49;53;76
6;16;33;36;47
60;62;64;65;68
19;26;30;43;46
12;24;28;37;71
8;13;24;26;34
29;39;59;60;65
4;10;44;63;76
4;20;53;59;70
18;22;44;63;75
14;16;26;29;47
4;5;19;29;41
8;34;35;51;79
4;5;10;68;77
35;51;52;71;77
1;8;34;56;80
3;35;44;65;77
16;30;31;55;69
4;31;57;68;76
5;7;11;29;41
15;30;43;63;64
16;28;33;57;64
14;16;38;46;50
4;13;32;33;51
4;25;45;62;78
22;23;25;36;39
8;19;39;70;80
2;17;20;54;71
11;21;28;38;64
17;18;49;50;63
21;26;39;66;76
30;37;48;57;76
13;19;38;39;49
4;25;36;46;63
1;19;34;39;68
5;13;14;64;68
15;26;31;41;56
42;43;60;62;80
19;38;47;49;74
3;14;24;33;75
13;18;29;30;44
9;15;33;40;74
6;18;24;39;70
11;13;24;29;48
27;39;50;74;76
46;65;67;69;70
15;21;29;40;52
4;9;44;45;77
19;34;58;60;72
41;43;49;56;58
12;34;35;44;63
1;4;23;65;74
37;61;68;71;76
52;53;61;66;78
17;46;53;58;63
15;26;32;56;60
5;36;75;77;78
8;9;42;55;57
2;22;24;56;78
6;7;36;49;54
29;33;51;56;58
12;24;60;66;77
33;50;52;73;79
16;34;38;54;65
53;55;63;64;75
7;10;15;26;77
5;9;39;49;69
4;5;27;64;72
7;8;18;25;35
29;34;40;45;47
9;16;36;48;67
15;47;71;72;74
5;28;36;39;80
15;20;31;35;69
34;38;52;65;74
12;22;31;36;47
14;27;39;41;49
10;38;47;68;76
5;33;38;51;65
39;42;51;70;71
5;29;39;66;68
5;10;39;66;78
18;24;32;37;39
9;33;37;61;69
18;34;39;65;66
16;28;43;47;68
19;31;52;55;75
3;34;47;48;71
20;22;25;27;73
24;44;58;67;77
7;18;44;57;61
4;14;47;70;73
21;25;59;74;80
22;45;52;56;71
27;30;38;40;46
19;21;25;44;71
14;23;46;70;75
12;22;49;50;63
13;32;69;76;79
1;5;26;41;67
19;21;36;58;79
9;15;19;45;75
22;26;27;41;79
12;27;48;66;67
13;15;33;41;48
21;35;61;69;80
18;21;30;34;66
32;47;73;79;80
22;35;54;61;66
11;13;28;32;58
18;30;37;45;70
4;30;52;64;72
3;35;45;49;76
18;28;53;64;69
8;12;36;43;48
9;11;40;52;79
4;16;42;45;58
4;14;22;40;53
4;13;30;32;55
5;41;42;54;72
15;16;59;68;78
16;24;44;72;78
12;26;50;60;74
5;9;51;53;58
12;39;46;73;77
20;43;54;63;72
31;53;54;62;73
6;35;37;42;56
11;12;32;53;59
6;59;61;76;80
23;37;56;71;77
38;59;69;70;71
12;13;17;19;67
2;38;47;57;63
5;20;52;64;74
14;19;21;54;78
21;47;66;67;78
32;60;62;64;77
6;26;27;68;70
35;42;45;63;78
6;7;15;60;67
19;39;54;55;61
33;46;50;66;76
39;50;55;76;78
5;24;28;31;45
7;9;22;53;64
48;56;59;62;80
22;29;33;59;60
11;39;43;48;62
18;33;44;49;69
42;69;73;78;80
